Tx->Rx | Rx->Tx
---------------
7E  7E |       
03  03 |       
03  03 |       
00  00 |       
7E  7E |       
       | 7E  7E
       | 01  01
       | 07  07
       | 06  06
       | 7E  7E
---------------
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
---------------
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
---------------
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
---------------
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
---------------
