Tx->Rx | Rx->Tx
---------------
7E  7E |       
03  03 |       
03  03 |       
00  00 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 07  07
       | 04  04
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
01  01 |       
00  00 |       
03  03 |       
71  71 |       
2A  2A |       
21  21 |       
01  01 |       
06  06 |       
69  69 |       
61  61 |       
2E  2E |       
6A  6A |       
70  70 |       
67  67 |       
24  24 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | AB  AB
       | A8  A8
       | 7E  7E
7E  7E |       
03  03 |       
40  40 |       
43  43 |       
02  02 |       
03  03 |       
E8  E8 |       
FF  FF |       
D8  D8 |       
FF  FF |       
E0  E0 |       
00  00 |       
10  10 |       
4A  4A |       
46  46 |       
49  49 |       
46  46 |       
00  00 |       
01  01 |       
02  02 |       
01  01 |       
00  00 |       
48  48 |       
00  00 |       
48  48 |       
00  00 |       
00  00 |       
FF  FF |       
E2  E2 |       
0C  0C |       
58  58 |       
49  49 |       
43  43 |       
43  43 |       
5F  5F |       
50  50 |       
52  52 |       
4F  4F |       
46  46 |       
49  49 |       
4C  4C |       
45  45 |       
00  00 |       
01  01 |       
01  01 |       
00  00 |       
00  00 |       
0C  0C |       
48  48 |       
4C  4C |       
69  69 |       
6E  6E |       
6F  6F |       
02  02 |       
10  10 |       
00  00 |       
00  00 |       
6D  6D |       
6E  6E |       
74  74 |       
72  72 |       
52  52 |       
47  47 |       
42  42 |       
20  20 |       
58  58 |       
59  59 |       
5A  5A |       
20  20 |       
07  07 |       
CE  CE |       
00  00 |       
02  02 |       
00  00 |       
09  09 |       
00  00 |       
06  06 |       
00  00 |       
31  31 |       
00  00 |       
00  00 |       
61  61 |       
63  63 |       
73  73 |       
70  70 |       
4D  4D |       
53  53 |       
46  46 |       
54  54 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
49  49 |       
45  45 |       
43  43 |       
20  20 |       
73  73 |       
52  52 |       
47  47 |       
42  42 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
F6  F6 |       
D6  D6 |       
00  00 |       
01  01 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
D3  D3 |       
2D  2D |       
48  48 |       
50  50 |       
20  20 |       
20  20 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
11  11 |       
63  63 |       
70  70 |       
72  72 |       
74  74 |       
00  00 |       
00  00 |       
01  01 |       
50  50 |       
00  00 |       
00  00 |       
00  00 |       
33  33 |       
64  64 |       
65  65 |       
73  73 |       
63  63 |       
00  00 |       
00  00 |       
01  01 |       
84  84 |       
00  00 |       
00  00 |       
00  00 |       
6C  6C |       
77  77 |       
74  74 |       
70  70 |       
74  74 |       
00  00 |       
00  00 |       
01  01 |       
F0  F0 |       
00  00 |       
00  00 |       
00  00 |       
14  14 |       
62  62 |       
6B  6B |       
70  70 |       
74  74 |       
00  00 |       
00  00 |       
02  02 |       
04  04 |       
00  00 |       
00  00 |       
00  00 |       
14  14 |       
72  72 |       
58  58 |       
59  59 |       
5A  5A |       
00  00 |       
00  00 |       
02  02 |       
18  18 |       
00  00 |       
00  00 |       
00  00 |       
14  14 |       
67  67 |       
58  58 |       
59  59 |       
5A  5A |       
00  00 |       
00  00 |       
02  02 |       
2C  2C |       
00  00 |       
00  00 |       
00  00 |       
14  14 |       
62  62 |       
58  58 |       
59  59 |       
5A  5A |       
00  00 |       
00  00 |       
02  02 |       
40  40 |       
00  00 |       
00  00 |       
00  00 |       
14  14 |       
64  64 |       
6D  6D |       
6E  6E |       
64  64 |       
00  00 |       
00  00 |       
02  02 |       
54  54 |       
00  00 |       
00  00 |       
00  00 |       
70  70 |       
64  64 |       
6D  6D |       
64  64 |       
64  64 |       
00  00 |       
00  00 |       
02  02 |       
C4  C4 |       
00  00 |       
00  00 |       
00  00 |       
88  88 |       
76  76 |       
75  75 |       
65  65 |       
64  64 |       
00  00 |       
00  00 |       
03  03 |       
4C  4C |       
00  00 |       
00  00 |       
00  00 |       
86  86 |       
76  76 |       
69  69 |       
65  65 |       
77  77 |       
00  00 |       
00  00 |       
03  03 |       
D4  D4 |       
00  00 |       
00  00 |       
00  00 |       
24  24 |       
6C  6C |       
75  75 |       
6D  6D |       
69  69 |       
00  00 |       
00  00 |       
03  03 |       
F8  F8 |       
00  00 |       
00  00 |       
00  00 |       
14  14 |       
