Tx->Rx | Rx->Tx
AC  AC |       
38  38 |       
60  60 |       
CA  CA |       
BD  BD |       
2C  2C |       
B5  B5 |       
0F  0F |       
B8  B8 |       
46  46 |       
85  85 |       
7F  7F |       
A8  A8 |       
D9  D9 |       
A8  A8 |       
AE  AE |       
EF  EF |       
B7  B7 |       
1E  1E |       
0E  0E |       
AE  AE |       
42  42 |       
3D  3D |       
3C  3C |       
D4  D4 |       
0C  0C |       
1F  1F |       
58  58 |       
A9  A9 |       
17  17 |       
96  96 |       
71  71 |       
6E  6E |       
8D  8D |       
C6  C6 |       
4A  4A |       
8D  8D |       
C6  C6 |       
B6  B6 |       
C5  C5 |       
5E  5E |       
7B  7B |       
70  70 |       
8B  8B |       
53  53 |       
A6  A6 |       
61  61 |       
6C  6C |       
25  25 |       
98  98 |       
B1  B1 |       
36  36 |       
9E  9E |       
94  94 |       
2D  2D |       
F6  F6 |       
F6  F6 |       
4D  4D |       
1E  1E |       
17  17 |       
97  97 |       
91  91 |       
00  00 |       
06  06 |       
E5  E5 |       
65  65 |       
31  31 |       
EC  EC |       
56  56 |       
EE  EE |       
3E  3E |       
D5  D5 |       
8D  8D |       
C2  C2 |       
E5  E5 |       
A8  A8 |       
92  92 |       
E3  E3 |       
46  46 |       
00  00 |       
57  57 |       
4D  4D |       
98  98 |       
C2  C2 |       
D7  D7 |       
A5  A5 |       
A6  A6 |       
7D  7D |       
5E  5E |       
BD  BD |       
FA  FA |       
E5  E5 |       
21  21 |       
79  79 |       
A5  A5 |       
C8  C8 |       
0A  0A |       
7A  7A |       
2E  2E |       
74  74 |       
5F  5F |       
7A  7A |       
65  65 |       
7A  7A |       
8D  8D |       
2E  2E |       
C7  C7 |       
03  03 |       
BE  BE |       
ED  ED |       
CA  CA |       
86  86 |       
81  81 |       
A0  A0 |       
D0  D0 |       
04  04 |       
2E  2E |       
09  09 |       
5F  5F |       
D6  D6 |       
E2  E2 |       
57  57 |       
FB  FB |       
47  47 |       
D8  D8 |       
34  34 |       
7F  7F |       
98  98 |       
FF  FF |       
BD  BD |       
B2  B2 |       
35  35 |       
2F  2F |       
BB  BB |       
D4  D4 |       
6A  6A |       
A4  A4 |       
93  93 |       
72  72 |       
90  90 |       
AD  AD |       
80  80 |       
23  23 |       
B4  B4 |       
31  31 |       
5F  5F |       
3C  3C |       
AA  AA |       
F8  F8 |       
6E  6E |       
D9  D9 |       
9D  9D |       
B0  B0 |       
B5  B5 |       
F2  F2 |       
7B  7B |       
45  45 |       
7C  7C |       
63  63 |       
B5  B5 |       
6E  6E |       
77  77 |       
B5  B5 |       
15  15 |       
05  05 |       
C5  C5 |       
A4  A4 |       
4D  4D |       
32  32 |       
D1  D1 |       
29  29 |       
87  87 |       
53  53 |       
3B  3B |       
7A  7A |       
7D  7D |       
5E  5E |       
55  55 |       
96  96 |       
F9  F9 |       
7C  7C |       
DC  DC |       
02  02 |       
5F  5F |       
81  81 |       
CC  CC |       
E8  E8 |       
DC  DC |       
00  00 |       
8D  8D |       
4D  4D |       
93  93 |       
5F  5F |       
53  53 |       
B6  B6 |       
4A  4A |       
90  90 |       
3E  3E |       
EE  EE |       
74  74 |       
A0  A0 |       
B8  B8 |       
E0  E0 |       
AA  AA |       
50  50 |       
85  85 |       
38  38 |       
A2  A2 |       
E7  E7 |       
CD  CD |       
6E  6E |       
6A  6A |       
E5  E5 |       
C7  C7 |       
18  18 |       
21  21 |       
E0  E0 |       
16  16 |       
AF  AF |       
FC  FC |       
A5  A5 |       
72  72 |       
87  87 |       
5D  5D |       
3D  3D |       
59  59 |       
36  36 |       
37  37 |       
F9  F9 |       
B0  B0 |       
00  00 |       
5B  5B |       
6E  6E |       
13  13 |       
CA  CA |       
F9  F9 |       
96  96 |       
13  13 |       
03  03 |       
EF  EF |       
32  32 |       
FF  FF |       
ED  ED |       
19  19 |       
75  75 |       
5D  5D |       
9D  9D |       
29  29 |       
81  81 |       
2C  2C |       
F4  F4 |       
D1  D1 |       
01  01 |       
25  25 |       
B5  B5 |       
5D  5D |       
08  08 |       
2A  2A |       
64  64 |       
4B  4B |       
5B  5B |       
3B  3B |       
45  45 |       
66  66 |       
7D  7D |       
5E  5E |       
15  15 |       
5D  5D |       
A7  A7 |       
DD  DD |       
E9  E9 |       
07  07 |       
65  65 |       
54  54 |       
C9  C9 |       
A5  A5 |       
DA  DA |       
B6  B6 |       
30  30 |       
1C  1C |       
52  52 |       
9A  9A |       
2E  2E |       
67  67 |       
81  81 |       
A2  A2 |       
AA  AA |       
DD  DD |       
B5  B5 |       
AE  AE |       
0F  0F |       
69  69 |       
8E  8E |       
A6  A6 |       
29  29 |       
1A  1A |       
DA  DA |       
5F  5F |       
04  04 |       
AD  AD |       
1E  1E |       
61  61 |       
AC  AC |       
EE  EE |       
55  55 |       
54  54 |       
7A  7A |       
AD  AD |       
E6  E6 |       
7D  7D |       
5E  5E |       
37  37 |       
4F  4F |       
D5  D5 |       
7B  7B |       
EC  EC |       
EB  EB |       
2C  2C |       
6A  6A |       
A8  A8 |       
F2  F2 |       
A5  A5 |       
F7  F7 |       
8D  8D |       
5C  5C |       
BA  BA |       
68  68 |       
DB  DB |       
12  12 |       
5B  5B |       
1E  1E |       
0A  0A |       
EE  EE |       
55  55 |       
BF  BF |       
85  85 |       
E7  E7 |       
D4  D4 |       
87  87 |       
6B  6B |       
F8  F8 |       
32  32 |       
28  28 |       
C1  C1 |       
DD  DD |       
33  33 |       
13  13 |       
FE  FE |       
4A  4A |       
45  45 |       
63  63 |       
FC  FC |       
AC  AC |       
F9  F9 |       
B6  B6 |       
63  63 |       
8A  8A |       
35  35 |       
B1  B1 |       
E0  E0 |       
9C  9C |       
46  46 |       
5C  5C |       
E2  E2 |       
E4  E4 |       
54  54 |       
C3  C3 |       
72  72 |       
36  36 |       
1C  1C |       
4B  4B |       
50  50 |       
BB  BB |       
1A  1A |       
E1  E1 |       
C2  C2 |       
6E  6E |       
72  72 |       
35  35 |       
2D  2D |       
DD  DD |       
90  90 |       
B9  B9 |       
74  74 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | AB  AB
       | A8  A8
       | 7E  7E
7E  7E |       
03  03 |       
40  40 |       
43  43 |       
02  02 |       
03  03 |       
E8  E8 |       
3C  3C |       
24  24 |       
23  23 |       
FF  FF |       
4F  4F |       
05  05 |       
C9  C9 |       
B1  B1 |       
CB  CB |       
6C  6C |       
01  01 |       
D1  D1 |       
08  08 |       
0E  0E |       
3B  3B |       
36  36 |       
78  78 |       
F7  F7 |       
68  68 |       
BB  BB |       
F1  F1 |       
A8  A8 |       
2D  2D |       
1C  1C |       
9D  9D |       
7A  7A |       
45  45 |       
5F  5F |       
4E  4E |       
2B  2B |       
0D  0D |       
70  70 |       
8C  8C |       
22  22 |       
E6  E6 |       
E4  E4 |       
46  46 |       
1B  1B |       
B7  B7 |       
CF  CF |       
03  03 |       
15  15 |       
D8  D8 |       
1F  1F |       
4F  4F |       
AD  AD |       
48  48 |       
38  38 |       
BD  BD |       
F4  F4 |       
3E  3E |       
1C  1C |       
3E  3E |       
11  11 |       
AB  AB |       
67  67 |       
F2  F2 |       
CF  CF |       
39  39 |       
B7  B7 |       
4D  4D |       
41  41 |       
6E  6E |       
F6  F6 |       
F4  F4 |       
57  57 |       
49  49 |       
10  10 |       
DC  DC |       
10  10 |       
0C  0C |       
94  94 |       
1B  1B |       
29  29 |       
49  49 |       
F5  F5 |       
D5  D5 |       
15  15 |       
89  89 |       
1E  1E |       
BB  BB |       
45  45 |       
7A  7A |       
D2  D2 |       
7B  7B |       
BA  BA |       
B4  B4 |       
43  43 |       
85  85 |       
5D  5D |       
4E  4E |       
84  84 |       
BA  BA |       
F7  F7 |       
27  27 |       
77  77 |       
54  54 |       
C5  C5 |       
1A  1A |       
6E  6E |       
68  68 |       
39  39 |       
7C  7C |       
5F  5F |       
0B  0B |       
11  11 |       
1F  1F |       
85  85 |       
76  76 |       
71  71 |       
00  00 |       
E3  E3 |       
E6  E6 |       
23  23 |       
AF  AF |       
65  65 |       
88  88 |       
30  30 |       
81  81 |       
A0  A0 |       
AE  AE |       
5E  5E |       
87  87 |       
2D  2D |       
B5  B5 |       
9B  9B |       
7B  7B |       
58  58 |       
7F  7F |       
9D  9D |       
A9  A9 |       
2C  2C |       
A5  A5 |       
E0  E0 |       
BB  BB |       
D6  D6 |       
23  23 |       
E0  E0 |       
55  55 |       
CC  CC |       
A1  A1 |       
A6  A6 |       
28  28 |       
E9  E9 |       
88  88 |       
92  92 |       
36  36 |       
6D  6D |       
85  85 |       
B2  B2 |       
7F  7F |       
81  81 |       
CD  CD |       
86  86 |       
A7  A7 |       
78  78 |       
E6  E6 |       
A9  A9 |       
D3  D3 |       
7A  7A |       
99  99 |       
14  14 |       
2C  2C |       
36  36 |       
83  83 |       
F4  F4 |       
85  85 |       
04  04 |       
41  41 |       
6F  6F |       
E6  E6 |       
A7  A7 |       
0F  0F |       
B6  B6 |       
23  23 |       
EC  EC |       
55  55 |       
9E  9E |       
E2  E2 |       
1E  1E |       
2A  2A |       
4A  4A |       
55  55 |       
EC  EC |       
93  93 |       
16  16 |       
FB  FB |       
04  04 |       
64  64 |       
74  74 |       
9B  9B |       
82  82 |       
24  24 |       
E9  E9 |       
55  55 |       
49  49 |       
78  78 |       
53  53 |       
97  97 |       
54  54 |       
AF  AF |       
BF  BF |       
AF  AF |       
23  23 |       
B3  B3 |       
37  37 |       
E2  E2 |       
26  26 |       
C7  C7 |       
CB  CB |       
69  69 |       
DE  DE |       
58  58 |       
C2  C2 |       
0E  0E |       
0A  0A |       
2F  2F |       
AF  AF |       
1F  1F |       
FF  FF |       
E4  E4 |       
3E  3E |       
11  11 |       
8C  8C |       
10  10 |       
43  43 |       
41  41 |       
6C  6C |       
80  80 |       
96  96 |       
F2  F2 |       
20  20 |       
F1  F1 |       
F3  F3 |       
FA  FA |       
9E  9E |       
4B  4B |       
59  59 |       
86  86 |       
BF  BF |       
87  87 |       
AA  AA |       
BB  BB |       
BB  BB |       
9E  9E |       
C9  C9 |       
C2  C2 |       
3E  3E |       
8D  8D |       
F6  F6 |       
46  46 |       
EF  EF |       
A1  A1 |       
66  66 |       
DE  DE |       
A5  A5 |       
A6  A6 |       
B9  B9 |       
7D  7D |       
5D  5D |       
FF  FF |       
33  33 |       
9A  9A |       
83  83 |       
7D  7D |       
5D  5D |       
9D  9D |       
C5  C5 |       
28  28 |       
D7  D7 |       
C6  C6 |       
0A  0A |       
BE  BE |       
C5  C5 |       
86  86 |       
5F  5F |       
E7  E7 |       
B7  B7 |       
C3  C3 |       
5D  5D |       
05  05 |       
36  36 |       
40  40 |       
4E  4E |       
EB  EB |       
61  61 |       
49  49 |       
2B  2B |       
D5  D5 |       
86  86 |       
04  04 |       
FA  FA |       
84  84 |       
1C  1C |       
AA  AA |       
07  07 |       
7F  7F |       
9B  9B |       
61  61 |       
00  00 |       
91  91 |       
70  70 |       
43  43 |       
BD  BD |       
45  45 |       
74  74 |       
F6  F6 |       
97  97 |       
58  58 |       
10  10 |       
A7  A7 |       
7F  7F |       
9B  9B |       
F0  F0 |       
5B  5B |       
9D  9D |       
12  12 |       
5D  5D |       
CA  CA |       
97  97 |       
3C  3C |       
BE  BE |       
67  67 |       
19  19 |       
C8  C8 |       
71  71 |       
80  80 |       
4F  4F |       
B2  B2 |       
4D  4D |       
F1  F1 |       
03  03 |       
42  42 |       
9E  9E |       
37  37 |       
22  22 |       
D3  D3 |       
A2  A2 |       
0F  0F |       
C1  C1 |       
E7  E7 |       
80  80 |       
DD  DD |       
92  92 |       
73  73 |       
E6  E6 |       
07  07 |       
79  79 |       
16  16 |       
18  18 |       
2D  2D |       
5C  5C |       
22  22 |       
10  10 |       
28  28 |       
14  14 |       
32  32 |       
F6  F6 |       
B2  B2 |       
81  81 |       
63  63 |       
13  13 |       
7D  7D |       
5D  5D |       
F4  F4 |       
87  87 |       
2A  2A |       
E9  E9 |       
16  16 |       
72  72 |       
D4  D4 |       
B3  B3 |       
56  56 |       
E3  E3 |       
37  37 |       
08  08 |       
25  25 |       
B8  B8 |       
22  22 |       
87  87 |       
71  71 |       
0B  0B |       
8D  8D |       
A7  A7 |       
82  82 |       
FE  FE |       
D3  D3 |       
24  24 |       
87  87 |       
11  11 |       
83  83 |       
0B  0B |       
93  93 |       
75  75 |       
F5  F5 |       
37  37 |       
68  68 |       
89  89 |       
57  57 |       
22  22 |       
11  11 |       
58  58 |       
19  19 |       
13  13 |       
88  88 |       
02  02 |       
E7  E7 |       
17  17 |       
84  84 |       
42  42 |       
F5  F5 |       
12  12 |       
45  45 |       
08  08 |       
32  32 |       
34  34 |       
78  78 |       
75  75 |       
BC  BC |       
F5  F5 |       
11  11 |       
3C  3C |       
C8  C8 |       
6B  6B |       
A9  A9 |       
67  67 |       
00  00 |       
21  21 |       
A3  A3 |       
72  72 |       
3C  3C |       
56  56 |       
58  58 |       
9A  9A |       
C2  C2 |       
26  26 |       
54  54 |       
88  88 |       
82  82 |       
5A  5A |       
38  38 |       
1C  1C |       
8A  8A |       
65  65 |       
20  20 |       
F9  F9 |       
07  07 |       
2C  2C |       
6A  6A |       
63  63 |       
16  16 |       
CB  CB |       
12  12 |       
85  85 |       
3C  3C |       
23  23 |       
2D  2D |       
62  62 |       
43  43 |       
86  86 |       
32  32 |       
F8  F8 |       
0D  0D |       
0D  0D |       
78  78 |       
40  40 |       
77  77 |       
68  68 |       
86  86 |       
E1  E1 |       
C7  C7 |       
5A  5A |       
79  79 |       
78  78 |       
2A  2A |       
CB  CB |       
D0  D0 |       
17  17 |       
5F  5F |       
F8  F8 |       
86  86 |       
17  17 |       
28  28 |       
0D  0D |       
9C  9C |       
D2  D2 |       
1C  1C |       
B9  B9 |       
61  61 |       
2C  2C |       
A6  A6 |       
C7  C7 |       
70  70 |       
C5  C5 |       
67  67 |       
51  51 |       
8B  8B |       
07  07 |       
84  84 |       
81  81 |       
88  88 |       
32  32 |       
CF  CF |       
34  34 |       
87  87 |       
3A  3A |       
C0  C0 |       
7D  7D |       
5D  5D |       
85  85 |       
A3  A3 |       
88  88 |       
57  57 |       
77  77 |       
83  83 |       
7C  7C |       
48  48 |       
4D  4D |       
86  86 |       
FF  FF |       
A7  A7 |       
06  06 |       
C9  C9 |       
07  07 |       
63  63 |       
45  45 |       
F5  F5 |       
1D  1D |       
91  91 |       
B8  B8 |       
03  03 |       
83  83 |       
77  77 |       
87  87 |       
35  35 |       
88  88 |       
13  13 |       
95  95 |       
38  38 |       
0F  0F |       
13  13 |       
97  97 |       
1F  1F |       
80  80 |       
18  18 |       
76  76 |       
61  61 |       
F4  F4 |       
4C  4C |       
84  84 |       
08  08 |       
7F  7F |       
93  93 |       
E8  E8 |       
18  18 |       
3A  3A |       
68  68 |       
0F  0F |       
4C  4C |       
78  78 |       
74  74 |       
44  44 |       
E1  E1 |       
74  74 |       
8E  8E |       
38  38 |       
55  55 |       
6A  6A |       
02  02 |       
8A  8A |       
65  65 |       
E8  E8 |       
36  36 |       
98  98 |       
58  58 |       
6C  6C |       
14  14 |       
77  77 |       
37  37 |       
2D  2D |       
87  87 |       
8B  8B |       
93  93 |       
43  43 |       
10  10 |       
BB  BB |       
68  68 |       
03  03 |       
B0  B0 |       
88  88 |       
73  73 |       
9D  9D |       
41  41 |       
8B  8B |       
0B  0B |       
E4  E4 |       
85  85 |       
FF  FF |       
E7  E7 |       
3F  3F |       
1D  1D |       
25  25 |       
86  86 |       
D7  D7 |       
47  47 |       
86  86 |       
7D  7D |       
5E  5E |       
F6  F6 |       
66  66 |       
FA  FA |       
25  25 |       
63  63 |       
BE  BE |       
A8  A8 |       
39  39 |       
02  02 |       
67  67 |       
77  77 |       
C3  C3 |       
E8  E8 |       
3F  3F |       
62  62 |       
E8  E8 |       
8A  8A |       
A9  A9 |       
41  41 |       
8D  8D |       
25  25 |       
77  77 |       
83  83 |       
34  34 |       
97  97 |       
56  56 |       
F1  F1 |       
26  26 |       
8C  8C |       
DC  DC |       
38  38 |       
39  39 |       
34  34 |       
64  64 |       
8C  8C |       
9C  9C |       
21  21 |       
10  10 |       
BC  BC |       
D6  D6 |       
04  04 |       
B4  B4 |       
98  98 |       
48  48 |       
8E  8E |       
47  47 |       
5E  5E |       
D1  D1 |       
08  08 |       
06  06 |       
73  73 |       
98  98 |       
1F  1F |       
6C  6C |       
38  38 |       
24  24 |       
85  85 |       
A6  A6 |       
7F  7F |       
F1  F1 |       
88  88 |       
8E  8E |       
50  50 |       
03  03 |       
29  29 |       
0A  0A |       
03  03 |       
8A  8A |       
EC  EC |       
88  88 |       
8F  8F |       
37  37 |       
87  87 |       
8D  8D |       
24  24 |       
A1  A1 |       
49  49 |       
9D  9D |       
E6  E6 |       
8C  8C |       
10  10 |       
45  45 |       
84  84 |       
BB  BB |       
78  78 |       
8F  8F |       
E5  E5 |       
68  68 |       
85  85 |       
6F  6F |       
87  87 |       
04  04 |       
64  64 |       
D7  D7 |       
8F  8F |       
BA  BA |       
D2  D2 |       
8A  8A |       
0C  0C |       
89  89 |       
8C  8C |       
C9  C9 |       
58  58 |       
90  90 |       
C9  C9 |       
D8  D8 |       
4B  4B |       
13  13 |       
C9  C9 |       
33  33 |       
9F  9F |       
C8  C8 |       
90  90 |       
B4  B4 |       
86  86 |       
55  55 |       
4A  4A |       
A0  A0 |       
85  85 |       
E3  E3 |       
78  78 |       
24  24 |       
AE  AE |       
C5  C5 |       
91  91 |       
67  67 |       
A3  A3 |       
81  81 |       
01  01 |       
79  79 |       
91  91 |       
A6  A6 |       
06  06 |       
1B  1B |       
C6  C6 |       
B6  B6 |       
8C  8C |       
80  80 |       
92  92 |       
90  90 |       
21  21 |       
D5  D5 |       
91  91 |       
8C  8C |       
F3  F3 |       
91  91 |       
2A  2A |       
C3  C3 |       
59  59 |       
19  19 |       
59  59 |       
35  35 |       
7A  7A |       
B8  B8 |       
0F  0F |       
5C  5C |       
A7  A7 |       
62  62 |       
27  27 |       
D9  D9 |       
50  50 |       
4E  4E |       
12  12 |       
83  83 |       
86  86 |       
88  88 |       
84  84 |       
38  38 |       
FF  FF |       
29  29 |       
17  17 |       
E1  E1 |       
87  87 |       
88  88 |       
2C  2C |       
33  33 |       
2C  2C |       
DD  DD |       
E6  E6 |       
93  93 |       
D6  D6 |       
05  05 |       
94  94 |       
1B  1B |       
18  18 |       
8E  8E |       
9E  9E |       
27  27 |       
