Tx->Rx | Rx->Tx
---------------
7E  7E |       
03  03 |       
03  03 |       
00  00 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 07  07
       | 04  04
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
01  01 |       
00  00 |       
03  03 |       
73  73 |       
6F  6F |       
03  03 |       
01  01 |       
0B  0B |       
70  70 |       
69  69 |       
6E  6E |       
67  67 |       
75  75 |       
69  69 |       
6E  6E |       
2E  2E |       
67  67 |       
69  69 |       
66  66 |       
33  33 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | AB  AB
       | A8  A8
       | 7E  7E
7E  7E |       
03  03 |       
40  40 |       
43  43 |       
02  02 |       
03  03 |       
E8  E8 |       
47  47 |       
49  49 |       
46  46 |       
38  38 |       
39  39 |       
61  61 |       
F4  F4 |       
01  01 |       
77  77 |       
01  01 |       
F2  F2 |       
07  07 |       
00  00 |       
BF  BF |       
BD  BD |       
B6  B6 |       
AD  AD |       
8A  8A |       
5F  5F |       
3A  3A |       
8C  8C |       
21  21 |       
47  47 |       
4B  4B |       
CE  CE |       
7B  7B |       
4A  4A |       
29  29 |       
21  21 |       
3E  3E |       
10  10 |       
EA  EA |       
BD  BD |       
2C  2C |       
E6  E6 |       
DE  DE |       
EF  EF |       
21  21 |       
FF  FF |       
0B  0B |       
4E  4E |       
45  45 |       
54  54 |       
53  53 |       
43  43 |       
41  41 |       
50  50 |       
45  45 |       
32  32 |       
2E  2E |       
30  30 |       
03  03 |       
01  01 |       
00  00 |       
00  00 |       
00  00 |       
2C  2C |       
00  00 |       
00  00 |       
00  00 |       
00  00 |       
F4  F4 |       
01  01 |       
77  77 |       
01  01 |       
00  00 |       
03  03 |       
FF  FF |       
48  48 |       
BA  BA |       
DC  DC |       
FE  FE |       
30  30 |       
CA  CA |       
55  55 |       
0A  0A |       
09  09 |       
38  38 |       
EB  EB |       
CD  CD |       
BB  BB |       
F7  F7 |       
4A  4A |       
35  35 |       
8D  8D |       
64  64 |       
69  69 |       
9E  9E |       
68  68 |       
AA  AA |       
AE  AE |       
6C  6C |       
EB  EB |       
8E  8E |       
E2  E2 |       
27  27 |       
CF  CF |       
74  74 |       
6D  6D |       
DF  DF |       
78  78 |       
8E  8E |       
85  85 |       
55  55 |       
EF  EF |       
FF  FF |       
C0  C0 |       
20  20 |       
F0  F0 |       
45  45 |       
84  84 |       
88  88 |       
2E  2E |       
BA  BA |       
64  64 |       
87  87 |       
70  70 |       
2C  2C |       
3A  3A |       
9F  9F |       
D0  D0 |       
A8  A8 |       
74  74 |       
FA  FA |       
B4  B4 |       
20  20 |       
95  95 |       
D8  D8 |       
AC  AC |       
76  76 |       
0B  0B |       
E2  E2 |       
09  09 |       
BF  BF |       
E0  E0 |       
1E  1E |       
B5  B5 |       
58  58 |       
E0  E0 |       
2A  2A |       
99  99 |       
CD  CD |       
B1  B1 |       
7A  7A |       
CD  CD |       
6E  6E |       
BB  BB |       
27  27 |       
31  31 |       
B3  B3 |       
7C  7C |       
4E  4E |       
FF  FF |       
00  00 |       
76  76 |       
DE  DE |       
B0  B0 |       
5E  5E |       
FC  FC |       
5E  5E |       
D5  D5 |       
6F  6F |       
68  68 |       
7D  7D |       
5D  5D |       
82  82 |       
83  83 |       
84  84 |       
85  85 |       
29  29 |       
71  71 |       
7F  7F |       
89  89 |       
8A  8A |       
73  73 |       
17  17 |       
79  79 |       
7B  7B |       
42  42 |       
86  86 |       
24  24 |       
8B  8B |       
34  34 |       
68  68 |       
56  56 |       
91  91 |       
97  97 |       
98  98 |       
99  99 |       
6B  6B |       
16  16 |       
16  16 |       
93  93 |       
9E  9E |       
9F  9F |       
58  58 |       
8D  8D |       
8E  8E |       
8F  8F |       
69  69 |       
9A  9A |       
0C  0C |       
A0  A0 |       
1F  1F |       
81  81 |       
A6  A6 |       
AB  AB |       
AC  AC |       
AD  AD |       
87  87 |       
9D  9D |       
A8  A8 |       
B1  B1 |       
B2  B2 |       
33  33 |       
77  77 |       
01  01 |       
A3  A3 |       
7A  7A |       
AE  AE |       
0B  0B |       
03  03 |       
B3  B3 |       
19  19 |       
95  95 |       
B9  B9 |       
BF  BF |       
C0  C0 |       
C1  C1 |       
B0  B0 |       
BC  BC |       
C4  C4 |       
C5  C5 |       
1B  1B |       
B7  B7 |       
41  41 |       
A6  A6 |       
9C  9C |       
BE  BE |       
0B  0B |       
BC  BC |       
AA  AA |       
C1  C1 |       
D0  D0 |       
D1  D1 |       
91  91 |       
62  62 |       
C6  C6 |       
D5  D5 |       
D6  D6 |       
B6  B6 |       
C8  C8 |       
A5  A5 |       
85  85 |       
3E  3E |       
95  95 |       
DC  DC |       
0A  0A |       
03  03 |       
57  57 |       
93  93 |       
CC  CC |       
D2  D2 |       
E4  E4 |       
E5  E5 |       
6E  6E |       
88  88 |       
D7  D7 |       
E9  E9 |       
B1  B1 |       
77  77 |       
77  77 |       
0C  0C |       
3F  3F |       
D3  D3 |       
EF  EF |       
96  96 |       
62  62 |       
69  69 |       
01  01 |       
BB  BB |       
E2  E2 |       
DA  DA |       
E6  E6 |       
