Tx->Rx | Rx->Tx
---------------
7E  7E |       
03  03 |       
03  03 |       
00  00 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 07  07
       | 04  04
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  4E |       
7D  7D | 7E  7E
5D  5D | 03  03
BB  BB | 55  55
AA  AA | 56  56
7F  7F | 7E  7E
AC  AC |       
45  45 |       
05  05 |       
81  80 |       
7E  7E |       
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  FD |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  0B |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  C5 |       
05  05 |       
81  81 |       
7E  7E |       
---------------
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  9B |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  3D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  83 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  6E
---------------
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  41 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  03 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  41 |       
05  05 |       
81  81 |       
7E  7E |       
       | 7E  7E
       | 03  03
       | 55  55
       | 56  56
       | 7E  7E
7E  7E |       
03  03 |       
00  00 |       
03  23 |       
7D  7D |       
5E  5E |       
7D  7D |       
5D  5D |       
BB  BB |       
AA  AA |       
7F  7F |       
AC  AC |       
45  45 |       
05  05 |       
81  81 |       
7E  7E |       
---------------
